doc_id,year,company,pdf_path,pdf_url
sikv_2023,2023, SIGNAL IDUNA Krankenversicherung a. G.,data/sfcrs/sikv_2023.pdf,https://signal-iduna.de/unternehmen/sfcrs/inland/2023/sfcr-2023-signal-iduna-krankenversicherung.pdf.coredownload.inline.pdf
sikv_2024,2024, SIGNAL IDUNA Krankenversicherung a. G.,data/sfcrs/sikv_2024.pdf,https://signal-iduna.de/unternehmen/sfcrs/inland/2024/sfcr-2024-signal-iduna-krankenversicherung.pdf.coredownload.inline.pdf
silv-kleinag_2023,2023, SIGNAL IDUNA Lebensversicherung a. G.,data/sfcrs/silv-kleinag_2023.pdf,https://signal-iduna.de/content/dam/signal-iduna/unternehmen/sfcrs/inland/2023/sfcr-2023-signal-iduna-lebensversicherung-auf-gegenseitigkeit.pdf.coredownload.inline.pdf
silv-kleinag_2024,2024, SIGNAL IDUNA Lebensversicherung a. G.,data/sfcrs/silv-kleinag_2024.pdf,https://signal-iduna.de/unternehmen/sfcrs/inland/2024/sfcr-2024-signal-iduna-lebensversicherung-auf-gegenseitigkeit.pdf.coredownload.inline.pdf
silv-ag_2023,2023, SIGNAL IDUNA Lebensversicherung AG,data/sfcrs/silv-kleinag_2023.pdf,https://signal-iduna.de/unternehmen/sfcrs/inland/2023/sfcr-2023-signal-iduna-lebensversicherung-aktiengesellschaft.pdf.coredownload.inline.pdf
silv-ag_2024,2024, SIGNAL IDUNA Lebensversicherung AG,data/sfcrs/silv-ag_2024.pdf,https://signal-iduna.de/unternehmen/sfcrs/inland/2024/sfcr-2024-signal-iduna-lebensversicherung-aktiengesellschaft.pdf.coredownload.inline.pdf
allianz-lv_2023,2023, Allianz Lebensversicherungs-AG,data/sfcrs/allianz-lv_2023.pdf,https://www.allianz.de/content/dam/onemarketing/azde/azd/unternehmenskommunikation/pdfs/unternehmen/zahlen-daten-fakten/solvabilitaet/SFCR_2023_AZL-AG_websafe_.pdf
allianz-lv_2024,2024, Allianz Lebensversicherungs-AG,data/sfcrs/allianz-lv_2024.pdf,https://www.allianz.de/content/dam/onemarketing/azde/azd/unternehmenskommunikation/pdfs/unternehmen/zahlen-daten-fakten/solvabilitaet/SFCR_2024_AZL-AG_websafe.pdf
allianz-pkv_2023,2023, Allianz Krankenversicherungs-AG,data/sfcrs/allianz-pkv_2023.pdf,https://www.allianz.de/content/dam/onemarketing/azde/azd/unternehmenskommunikation/pdfs/unternehmen/zahlen-daten-fakten/solvabilitaet/APKV_SFCR_2023_Website.pdf
allianz-pkv_2024,2024, Allianz Krankenversicherungs-AG,data/sfcrs/allianz-pkv_2024.pdf,https://www.allianz.de/content/dam/onemarketing/azde/azd/unternehmenskommunikation/pdfs/unternehmen/zahlen-daten-fakten/solvabilitaet/APKV_SFCR_2024_Website.pdf
allianz-vers_2023,2023, Allianz Versicherungs-AG,data/sfcrs/allianz-vers_2023.pdf,https://www.allianz.de/content/dam/onemarketing/azde/azd/unternehmenskommunikation/pdfs/unternehmen/zahlen-daten-fakten/solvabilitaet/AZV_SFCR_2023.pdf
allianz-vers_2024,2024, Allianz Versicherungs-AG,data/sfcrs/allianz-vers_2024.pdf,https://www.allianz.de/content/dam/onemarketing/azde/azd/unternehmenskommunikation/pdfs/unternehmen/zahlen-daten-fakten/solvabilitaet/AZV_SFCR_2024.pdf
axakv_2023,2023, Axa Krankenversicherung AG,data/sfcrs/axakv_2023.pdf,https://www.axa.de/site/axa-de/get/documents_E2001377999/axade/medien/ueber-axa/daten-publikationen/2023/sfcr-axa-krankenversicherung-ag-2023.pdf
axakv_2024,2024, Axa Krankenversicherung AG,data/sfcrs/axakv_2024.pdf,https://www.axa.de/site/axa-de/get/documents_E905361860/axade/medien/ueber-axa/daten-publikationen/2024/sfcr-axa-krankenversicherung-ag-2024.pdf
ruv-kv_2023,2023, R+V Krankenversicherung AG,data/sfcrs/ruv-kv_2023.pdf,https://www.ruv.de/dam/jcr:9334c1b0-fa05-4ebb-945f-d280af1fafa0/2023-SFCR-Kranken.pdf
ruv-kv_2024,2024, R+V Krankenversicherung AG,data/sfcrs/ruv-kv_2024.pdf,https://www.ruv.de/dam/jcr:8d1e967f-bd7d-474d-a880-1d4880458946/2024-SFCR-Kranken.pdf
ruv-lv-kleinag_2023,2023, R+V Lebensversicherung a.G.,data/sfcrs/ruv-lv-kleinag_2023.pdf,https://www.ruv.de/dam/jcr:b109895e-b784-44cb-a969-70bff8755d98/2023-SFCR-Leben-kleinaG.pdf
ruv-lv-kleinag_2024,2024, R+V Lebensversicherung a.G.,data/sfcrs/ruv-lv-kleinag_2024.pdf,https://www.ruv.de/dam/jcr:5b80db9c-7df2-4f0a-8df0-ccbe2fdfd6f4/2024-SFCR-Leben-kleinaG.pdf
ruv-lv-ag_2023,2023, R+V Lebensversicherung AG,data/sfcrs/ruv-lv-ag_2023.pdf,https://www.ruv.de/dam/jcr:a8dd1bdd-af6b-40eb-97dc-e0e747127583/2023-SFCR-Leben-AG.pdf
ruv-lv-ag_2024,2024, R+V Lebensversicherung AG,data/sfcrs/ruv-lv-ag_2024.pdf,https://www.ruv.de/dam/jcr:c33ea85a-b9d8-4ab4-8f89-a2c2055af65d/2024-SFCR-Leben-AG.pdf
